,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2016/10/07 22:16:22,75.87,284.08,162.77,1.83,446.85,2.6158,1.0,37.12,37.12,食事前,入浴後,最適,疲れたぁ,眠い…,,
2016/10/07 22:20:15,77.26,529.68,142.3,3.6,671.98,3.2213,1.0,37.12,食事前,入浴後,最適,疲れたぁ,眠い…,,,
2016/10/08 00:41:27,79.48,117.99,57.95,2.33,175.94,1.7398,1.0,37.12,37.12,暑い…,疲れたぁ,睡眠後,,,,
2016/10/08 10:35:31,64.93,137.65,128.02,1.0,265.67,1.7259,1.0,36.90,食事前,寒っ！,リラックス,睡眠後,,,,
2016/10/08 10:38:23,67.37,387.76,181.13,2.12,568.89,2.5916,1.0,36.90,食事前,寒っ！,リラックス,睡眠後,,,,
2016/10/08 14:54:24,76.16,364.18,144.17,2.67,508.35,2.7725,1.0,37.09,食事後,最適,リラックス,普通,,,,
2016/10/08 14:57:15,78.23,147.74,107.36,1.36,255.1,2.0566,1.0,37.09,食事後,最適,リラックス,普通,,,,
2016/10/08 18:36:18,63.41,232.7,187.34,1.15,420.04,2.1072,1.0,食事前,36.77,最適,リラックス,昼寝,,,,
2016/10/08 18:39:33,65.3,276.57,144.09,2.07,420.66,2.1882,1.0,36.77,食事前,最適,リラックス,昼寝,,,,
2016/10/08 20:39:39,78.28,181.0,514.21,0.34,695.2,3.4153,0.0,37.09,食事前,入浴前,最適,不安…,普通,,,
2016/10/08 20:44:01,81.69,101.84,135.4,0.76,237.24,2.1005,1.0,37.09,食事前,入浴前,最適,不安…,普通,,,
2016/10/08 20:46:43,80.26,119.27,206.9,0.64,326.17,2.3963,1.0,37.09,食事前,入浴前,最適,不安…,普通,,,
